iter	MultiClass
0	1.386294361
1	1.378093131
2	1.372128466
3	1.370416785
4	1.368838154
5	1.366830122
6	1.366830091
7	1.366830064
8	1.362753578
9	1.35952819
10	1.352874201
11	1.351113884
12	1.35031187
13	1.341589316
14	1.341392364
15	1.341337203
16	1.338780554
17	1.338613835
18	1.338613788
19	1.335693292
20	1.332521306
21	1.324126161
22	1.324126063
23	1.318170587
24	1.312493458
25	1.309987036
26	1.309986825
27	1.307873018
28	1.30268518
29	1.300970945
30	1.293593073
31	1.292496525
32	1.288917661
33	1.286487929
34	1.28391535
35	1.277971116
36	1.277613405
37	1.276422201
38	1.274771764
39	1.274603014
40	1.274165622
41	1.268861154
42	1.268423733
43	1.268107739
44	1.26492137
45	1.262305737
46	1.26218351
47	1.261060008
48	1.261059722
49	1.256624483
50	1.256595108
51	1.254717957
52	1.250771114
53	1.248447435
54	1.24842016
55	1.248419862
56	1.248419593
57	1.24700602
58	1.244714761
59	1.2446194
60	1.242768925
61	1.2397666
62	1.239140364
63	1.234636509
64	1.234236587
65	1.234161181
66	1.233050088
67	1.232696578
68	1.231384556
69	1.226580924
70	1.222578045
71	1.221468731
72	1.219740852
73	1.215476094
74	1.21547562
75	1.215475193
76	1.213817204
77	1.213653093
78	1.212017669
79	1.208721963
80	1.208721474
81	1.208600802
82	1.207899959
83	1.20327262
84	1.199083024
85	1.198471141
86	1.194206242
87	1.194204517
88	1.191029881
89	1.189450672
90	1.189337506
91	1.18643045
92	1.186429915
93	1.185137044
94	1.185031816
95	1.183597978
96	1.18329702
97	1.182183873
98	1.180928101
99	1.180896865
100	1.180896519
101	1.180222858
102	1.178361334
103	1.177743831
104	1.177743542
105	1.176562314
106	1.175765203
107	1.175676616
108	1.174841835
109	1.171948759
110	1.171696602
111	1.171620273
112	1.17115213
113	1.169658674
114	1.169282945
115	1.167186866
116	1.167186633
117	1.165230386
118	1.16178311
119	1.161782815
120	1.161697672
121	1.160622156
122	1.160416631
123	1.15572517
124	1.155724866
125	1.155620163
126	1.154877335
127	1.153192177
128	1.150897275
129	1.149115319
130	1.145713792
131	1.145044933
132	1.143166162
133	1.142879181
134	1.141239981
135	1.139462074
136	1.138120453
137	1.137028904
138	1.134069549
139	1.133475206
140	1.133456933
141	1.129599335
142	1.129522232
143	1.128874936
144	1.128328537
145	1.128319275
146	1.127106033
147	1.126141048
148	1.123807717
149	1.123807353
150	1.123347616
151	1.122656717
152	1.120190248
153	1.119922002
154	1.117948843
155	1.115798881
156	1.115798452
157	1.113464033
158	1.112342317
159	1.111963388
160	1.110022654
161	1.108587514
162	1.108522148
163	1.108521762
164	1.107433508
165	1.1053429
166	1.104438572
167	1.104012926
168	1.103946197
169	1.100911394
170	1.100911002
171	1.099753743
172	1.095068485
173	1.093358337
174	1.093252279
175	1.090768235
176	1.088352825
177	1.08420052
178	1.081254685
179	1.0790553
180	1.074665389
181	1.073684271
182	1.071268267
183	1.069333607
184	1.066779782
185	1.064197982
186	1.062441766
187	1.060566501
188	1.060565286
189	1.058102705
190	1.056281226
191	1.052923064
192	1.051040836
193	1.049717594
194	1.047737546
195	1.045548197
196	1.04490628
197	1.044518178
198	1.042043126
199	1.040085284
200	1.039436096
201	1.037784731
202	1.03626564
203	1.033593666
204	1.031153839
205	1.02873492
206	1.027852082
207	1.025442965
208	1.023897948
209	1.019626378
210	1.01748542
211	1.014979613
212	1.014259758
213	1.011597066
214	1.007938321
215	1.006328532
216	1.004538623
217	1.003374666
218	1.002191065
219	0.9998259747
220	0.997515236
221	0.9950361872
222	0.9916881633
223	0.9913201418
224	0.989391935
225	0.9886061425
226	0.9863452672
227	0.9858845259
228	0.9838935452
229	0.9818415861
230	0.9805943876
231	0.9790107462
232	0.977411516
233	0.9758166736
234	0.9734333289
235	0.9710239082
236	0.9699464521
237	0.9684352033
238	0.9673034763
239	0.9647272672
240	0.9617849567
241	0.9610361686
242	0.9598891686
243	0.9583672301
244	0.9567688313
245	0.9550753192
246	0.954141887
247	0.9513183553
248	0.948233275
249	0.9475844937
250	0.9449528001
251	0.9434448933
252	0.9427218937
253	0.9414696038
254	0.9405077807
255	0.9384409944
256	0.936022615
257	0.9342429181
258	0.9327011949
259	0.932152234
260	0.9298410218
261	0.929162592
262	0.9271420065
263	0.9254453921
264	0.9249015585
265	0.9238355324
266	0.9215160765
267	0.9189226475
268	0.9184630438
269	0.9160507906
270	0.9145136143
271	0.9133680018
272	0.9128608466
273	0.9113187087
274	0.9107587594
275	0.909150387
276	0.9065661889
277	0.904850416
278	0.904023308
279	0.9034283323
280	0.9025295024
281	0.9020245789
282	0.9002866191
283	0.8983034658
284	0.897243526
285	0.896310068
286	0.895705722
287	0.8937478817
288	0.8928428464
289	0.8924100397
290	0.8918492447
291	0.8904352472
292	0.8889797067
293	0.8879447049
294	0.8876917858
295	0.8862809484
296	0.8855935129
297	0.8844540962
298	0.8834304165
299	0.8829658639
300	0.8824262312
301	0.8815928137
302	0.8808996047
303	0.880283036
304	0.8796981849
305	0.8785893774
306	0.8779626158
307	0.8766462047
308	0.8755348693
309	0.8746121027
310	0.8734450746
311	0.872547518
312	0.8710646774
313	0.8707995444
314	0.8696955308
315	0.8694070798
316	0.8683322595
317	0.8678176779
318	0.8673759193
319	0.8661423687
320	0.8655489689
321	0.8647165825
322	0.8643120678
323	0.863173288
324	0.8628236072
325	0.8626640145
326	0.861257951
327	0.86109631
328	0.8602972438
329	0.8601865622
330	0.8583996654
331	0.8566581875
332	0.8556579963
333	0.8550449818
334	0.8545086483
335	0.854176982
336	0.8538544393
337	0.8535966053
338	0.8523879546
339	0.8517779401
340	0.8511689608
341	0.8502016897
342	0.8497940635
343	0.8489972075
344	0.8486980491
345	0.8478581599
346	0.847485205
347	0.8472911001
348	0.8466014833
349	0.8458976756
350	0.8447366906
351	0.8445512131
352	0.8438188783
353	0.8431205288
354	0.8423250316
355	0.8419445215
356	0.8412102783
357	0.8405561499
358	0.8398564541
359	0.8387128274
360	0.8381331217
361	0.8365215896
362	0.836047885
363	0.8352149188
364	0.8339746033
365	0.8328581744
366	0.8326073818
367	0.8321575177
368	0.8316933933
369	0.8314008572
370	0.8309037822
371	0.8305861994
372	0.8298053044
373	0.8289567454
374	0.8288126654
375	0.8285671147
376	0.8276565867
377	0.8269261436
378	0.826368985
379	0.8258208942
380	0.8255257902
381	0.8250169044
382	0.8241000391
383	0.8235513713
384	0.8231496449
385	0.822189571
386	0.8215993543
387	0.821257439
388	0.8206609467
389	0.8198335882
390	0.819158787
391	0.8185614157
392	0.8183105935
393	0.8176968995
394	0.8175552039
395	0.8170856162
396	0.8164535786
397	0.8160567636
398	0.8157935494
399	0.8153759771
400	0.8151545087
401	0.8150795466
402	0.8143579602
403	0.8141760636
404	0.8138986758
405	0.8134557025
406	0.8124650136
407	0.8122945005
408	0.8111936588
409	0.8106896279
410	0.8101079817
411	0.8100098795
412	0.8098127541
413	0.8097331429
414	0.8096526774
415	0.8095361946
416	0.8092567095
417	0.8086811504
418	0.8081122853
419	0.8075914001
420	0.807292876
421	0.8067284819
422	0.8060283886
423	0.8056805541
424	0.8055743532
425	0.805357578
426	0.8049754964
427	0.8039966983
428	0.8036519274
429	0.8033291841
430	0.8028042005
431	0.802713894
432	0.8026645361
433	0.8022759525
434	0.8018312665
435	0.8017573719
436	0.8016014027
437	0.8007431163
438	0.8006118946
439	0.8001693006
440	0.8001339222
441	0.799863517
442	0.7990301184
443	0.7982086971
444	0.7978672482
445	0.7976170654
446	0.7973891942
447	0.7972371911
448	0.7971765806
449	0.7969693923
450	0.7967409723
451	0.7964881869
452	0.7962137636
453	0.7956323602
454	0.7955173947
455	0.7954095092
456	0.7952598652
457	0.7950054041
458	0.7947424519
459	0.7946589344
460	0.7942499113
461	0.793795899
462	0.7931755988
463	0.7929755465
464	0.7923346686
465	0.7920230974
466	0.791451448
467	0.7911688062
468	0.7909288427
469	0.7907072315
470	0.7900805405
471	0.7899636419
472	0.789908312
473	0.7892802295
474	0.7891423745
475	0.7886989136
476	0.7880256598
477	0.7879274602
478	0.787401265
479	0.7873306684
480	0.787098362
481	0.7868801672
482	0.7864663416
483	0.7862382388
484	0.7857490215
485	0.7856222749
486	0.7853422094
487	0.7848999869
488	0.7845841554
489	0.7842580815
490	0.7839659446
491	0.7834479948
492	0.7830268246
493	0.782885183
494	0.782354232
495	0.7820731488
496	0.781610941
497	0.7812821303
498	0.7807698148
499	0.7805987802
500	0.78040064
501	0.7799749003
502	0.7799273944
503	0.7798381055
504	0.7793290188
505	0.7784333447
506	0.7782659772
507	0.777947273
508	0.7776551085
509	0.7772850078
510	0.776596745
511	0.7761726056
512	0.7760661515
513	0.7759128406
514	0.7757761273
515	0.7757355835
516	0.7755668935
517	0.7750803231
518	0.7742896455
519	0.7738997269
520	0.7737961345
521	0.7736699199
522	0.7734356392
523	0.7732957645
524	0.7731110804
525	0.7727287692
526	0.7722349762
527	0.7717956388
528	0.7717341987
529	0.7716865255
530	0.7714198032
531	0.77108242
532	0.7709952828
533	0.7706819234
534	0.7705547435
535	0.7700819778
536	0.7698822847
537	0.7697842471
538	0.7695196961
539	0.76911958
540	0.7685120354
541	0.7681625813
542	0.7680979575
543	0.7676152285
544	0.7675213406
545	0.7672635903
546	0.7669699739
547	0.7663659118
548	0.7659106436
549	0.7658393284
550	0.7652810561
551	0.7651065965
552	0.7647148888
553	0.7643783321
554	0.7640524965
555	0.7637637339
556	0.7633213573
557	0.7629813452
558	0.7627677023
559	0.7626406067
560	0.7624086086
561	0.7622427592
562	0.7621768119
563	0.7619706774
564	0.7618597665
565	0.7613506323
566	0.7612151979
567	0.7610083672
568	0.7608613087
569	0.7606785095
570	0.7604866329
571	0.7603429836
572	0.7599594061
573	0.759545094
574	0.7594192911
575	0.7590910129
576	0.7589973254
577	0.7587683263
578	0.758607418
579	0.7581166236
580	0.7580743005
581	0.7578105475
582	0.7573347019
583	0.7571529526
584	0.756907322
585	0.7566539212
586	0.7563465352
587	0.7561471468
588	0.7559576712
589	0.7555575007
590	0.7553488861
591	0.7551812275
592	0.7547950467
593	0.7544626131
594	0.7542363567
595	0.7539496407
596	0.7538211393
597	0.7533543897
598	0.7533228535
599	0.7532137402
600	0.7530256824
601	0.7529051817
602	0.7527227234
603	0.7524822347
604	0.7522410112
605	0.7521811135
606	0.7517841624
607	0.7516034192
608	0.7515191653
609	0.7513947365
610	0.7508743264
611	0.7507960789
612	0.7505798134
613	0.750504886
614	0.7500252164
615	0.7498634978
616	0.7497540877
617	0.7495053535
618	0.7494181825
619	0.7488849603
620	0.7487371075
621	0.7484755415
622	0.7480777073
623	0.7478310527
624	0.747578985
625	0.7472782038
626	0.7469610282
627	0.7466040347
628	0.7461347374
629	0.7460376927
630	0.7458194525
631	0.7457841117
632	0.7452712473
633	0.745013056
634	0.74485018
635	0.7447336203
636	0.7445767985
637	0.7443597832
638	0.7442595599
639	0.7441080127
640	0.7440590296
641	0.7437443017
642	0.7436574936
643	0.743325484
644	0.7431244234
645	0.7427900344
646	0.7426263061
647	0.7422346917
648	0.7421057013
649	0.7418768121
650	0.7418080041
651	0.7414210094
652	0.741263342
653	0.7412124186
654	0.7410006472
655	0.7408312282
656	0.740794272
657	0.7405357049
658	0.7404731278
659	0.7402649395
660	0.740098492
661	0.7398998879
662	0.7396930367
663	0.739464086
664	0.7391946061
665	0.739173624
666	0.7388447774
667	0.7387856189
668	0.7385845321
669	0.7384300678
670	0.7383742605
671	0.738362752
672	0.7382268053
673	0.7381203948
674	0.7380264203
675	0.737974679
676	0.7378734573
677	0.7378477519
678	0.7376335959
679	0.7373515734
680	0.7372391083
681	0.7371353188
682	0.7369332793
683	0.7368730093
684	0.7367030284
685	0.7365903942
686	0.7362588471
687	0.7360992318
688	0.7359674732
689	0.7359368243
690	0.7357746629
691	0.7354928725
692	0.7351805015
693	0.7349600845
694	0.7346834773
695	0.7343966397
696	0.734258916
697	0.7340155701
698	0.7332805947
699	0.7330974294
700	0.733057891
701	0.7329145782
702	0.7328340672
703	0.732432564
704	0.7322692697
705	0.7320385073
706	0.7319351465
707	0.7318608276
708	0.7317222236
709	0.7315631395
710	0.7314787089
711	0.7312489697
712	0.7309908957
713	0.7308639645
714	0.730647132
715	0.730603106
716	0.7304844077
