iter	Passed	Remaining
0	2	2590
1	21	10537
2	39	12989
3	60	15080
4	72	14466
5	99	16468
6	107	15186
7	115	14270
8	139	15325
9	154	15292
10	182	16369
11	211	17376
12	231	17597
13	259	18269
14	282	18526
15	303	18689
16	331	19188
17	346	18930
18	354	18288
19	377	18480
20	392	18280
21	418	18615
22	426	18123
23	451	18374
24	477	18621
25	490	18367
26	497	17927
27	522	18135
28	546	18299
29	572	18519
30	599	18747
31	618	18702
32	641	18798
33	666	18941
34	691	19060
35	718	19234
36	736	19169
37	754	19106
38	778	19186
39	802	19251
40	820	19189
41	845	19284
42	868	19320
43	893	19406
44	927	19674
45	952	19753
46	965	19570
47	982	19481
48	989	19207
49	1013	19248
50	1025	19088
51	1044	19040
52	1068	19083
53	1091	19123
54	1115	19166
55	1122	18914
56	1128	18662
57	1151	18708
58	1177	18777
59	1194	18708
60	1214	18701
61	1239	18754
62	1265	18814
63	1292	18899
64	1318	18973
65	1342	18997
66	1366	19025
67	1388	19025
68	1414	19081
69	1439	19118
70	1463	19148
71	1507	19423
72	1534	19491
73	1563	19568
74	1571	19382
75	1579	19197
76	1603	19222
77	1617	19114
78	1640	19131
79	1664	19147
80	1672	18972
81	1685	18867
82	1707	18870
83	1734	18910
84	1759	18936
85	1785	18973
86	1811	19010
87	1824	18905
88	1849	18934
89	1873	18947
90	1886	18843
91	1909	18845
92	1921	18743
93	1940	18698
94	1964	18710
95	1986	18705
96	2003	18655
97	2027	18663
98	2044	18606
99	2056	18511
100	2064	18372
101	2087	18380
102	2111	18392
103	2124	18303
104	2131	18165
105	2154	18174
106	2167	18091
107	2179	18001
108	2202	18007
109	2229	18036
110	2249	18019
111	2279	18076
112	2311	18142
113	2336	18160
114	2363	18187
115	2389	18208
116	2396	18088
117	2422	18109
118	2450	18145
119	2459	18036
120	2472	17960
121	2518	18121
122	2554	18212
123	2585	18266
124	2595	18165
125	2622	18191
126	2650	18219
127	2671	18199
128	2698	18217
129	2724	18234
130	2749	18241
131	2769	18211
132	2794	18218
133	2823	18250
134	2850	18262
135	2874	18262
136	2896	18244
137	2917	18224
138	2944	18241
139	2959	18178
140	2973	18113
141	3000	18127
142	3014	18063
143	3037	18058
144	3067	18090
145	3082	18028
146	3108	18036
147	3132	18034
148	3157	18033
149	3166	17943
150	3180	17879
151	3194	17822
152	3218	17820
153	3244	17822
154	3270	17827
155	3296	17834
156	3304	17741
157	3330	17750
158	3357	17761
159	3371	17697
160	3396	17700
161	3420	17692
162	3435	17641
163	3442	17548
164	3468	17550
165	3494	17554
166	3518	17548
167	3535	17507
168	3557	17493
169	3587	17515
170	3595	17429
171	3621	17434
172	3647	17436
173	3673	17439
174	3693	17410
175	3717	17403
176	3741	17398
177	3767	17397
178	3791	17389
179	3816	17386
180	3840	17379
181	3864	17367
182	3887	17356
183	3911	17346
184	3936	17340
185	3960	17334
186	3983	17318
187	4008	17313
188	4016	17233
189	4044	17242
190	4070	17239
191	4095	17235
192	4118	17220
193	4142	17211
194	4166	17198
195	4193	17203
196	4222	17210
197	4245	17198
198	4271	17193
199	4295	17181
200	4318	17166
201	4343	17160
202	4368	17152
203	4395	17152
204	4421	17146
205	4447	17141
206	4472	17132
207	4496	17121
208	4523	17119
209	4549	17114
210	4575	17110
211	4601	17104
212	4627	17096
213	4654	17096
214	4681	17093
215	4712	17106
216	4737	17095
217	4764	17092
218	4792	17090
219	4818	17082
220	4847	17086
221	4873	17078
222	4910	17108
223	4941	17119
224	4972	17127
225	4999	17121
226	5025	17112
227	5053	17110
228	5080	17104
229	5107	17097
230	5131	17081
231	5159	17078
232	5184	17068
233	5211	17059
234	5238	17054
235	5264	17041
236	5287	17023
237	5314	17015
238	5342	17009
239	5370	17005
240	5396	16995
241	5424	16991
242	5454	16991
243	5480	16980
244	5505	16965
245	5531	16953
246	5555	16937
247	5583	16929
248	5610	16920
249	5637	16911
250	5664	16902
251	5691	16892
252	5717	16882
253	5744	16872
254	5769	16856
255	5796	16845
256	5823	16835
257	5850	16827
258	5875	16809
259	5902	16798
260	5929	16787
261	5955	16776
262	5987	16778
263	6015	16770
264	6042	16758
265	6070	16751
266	6100	16748
267	6131	16747
268	6160	16739
269	6187	16728
270	6224	16744
271	6253	16736
272	6284	16734
273	6312	16724
274	6337	16709
275	6368	16704
276	6395	16692
277	6422	16681
278	6450	16669
279	6475	16650
280	6501	16634
281	6526	16618
282	6551	16599
283	6578	16584
284	6601	16562
285	6625	16541
286	6650	16522
287	6677	16507
288	6701	16487
289	6727	16471
290	6753	16453
291	6780	16439
292	6805	16420
293	6829	16400
294	6854	16381
295	6880	16365
296	6911	16359
297	6942	16355
298	6971	16345
299	7001	16335
300	7027	16319
301	7052	16299
302	7078	16282
303	7105	16267
304	7130	16249
305	7158	16234
306	7192	16236
307	7230	16245
308	7261	16239
309	7283	16212
310	7308	16191
311	7335	16175
312	7361	16158
313	7388	16141
314	7414	16123
315	7441	16107
316	7467	16089
317	7496	16078
318	7526	16066
319	7560	16067
320	7589	16054
321	7618	16041
322	7648	16030
323	7674	16012
324	7699	15990
325	7723	15968
326	7749	15948
327	7772	15923
328	7797	15902
329	7821	15879
330	7849	15865
331	7877	15848
332	7905	15834
333	7933	15819
334	7958	15799
335	7984	15778
336	8009	15758
337	8035	15738
338	8063	15722
339	8086	15696
340	8113	15680
341	8140	15662
342	8168	15646
343	8194	15627
344	8221	15608
